1,Piper Dingledine,Piper.Dingledine@fakegame.com,7,Fake mobile game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
2,Dennis Cardenas,Dennis.Cardenas@fakegame.com,7,Fake mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
3,William Mooney,William.Mooney@fakegame.com,7,Fake mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
4,Ashley Rifkin,Ashley.Rifkin@fakegame.com,7,Fake mobile game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
5,Lisa Yruegas,Lisa.Yruegas@fakegame.com,7,Fake mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
6,Ellen Smith,Ellen.Smith@fakegame.com,7,Fake mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
7,Dotty Deason,Dotty.Deason@fakegame.com,100,Fake mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']"
8,Nickolas McCarney,Nickolas.McCarney@fakegame.com,7,Fake mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
9,Dennis Gist,Dennis.Gist@fakegame.com,7,Fake mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
10,Juanita Delabarre,Juanita.Delabarre@fakegame.com,16,Prototype mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
11,Nancy Villanueva,Nancy.Villanueva@fakegame.com,16,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
12,Samuel Iaccarino,Samuel.Iaccarino@fakegame.com,16,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
13,Julie Lams,Julie.Lams@fakegame.com,16,Prototype mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
14,Bernice Schuck,Bernice.Schuck@fakegame.com,16,Prototype mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
15,Tanner Harrington,Tanner.Harrington@fakegame.com,16,Prototype mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']"
16,Norman Ruiz,Norman.Ruiz@fakegame.com,30,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
17,Phyllis Harris,Phyllis.Harris@fakegame.com,16,Prototype mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
18,Kyle Nava,Kyle.Nava@fakegame.com,16,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
19,Jimmie Shah,Jimmie.Shah@fakegame.com,16,Prototype mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
20,Jeffrey Gutierrez,Jeffrey.Gutierrez@fakegame.com,25,Karma mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
21,Kyle Espinoza,Kyle.Espinoza@fakegame.com,25,Karma mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
22,Richard Rivera,Richard.Rivera@fakegame.com,25,Karma mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
23,Dorothy McWilliams,Dorothy.McWilliams@fakegame.com,25,Karma mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
24,Arthur Klopp,Arthur.Klopp@fakegame.com,25,Karma mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']"
25,Eugene Tucker,Eugene.Tucker@fakegame.com,30,Karma mobile game,CTO,"['Perseverance', 'Self-Motivation', 'Independence']"
26,Terri Kestler,Terri.Kestler@fakegame.com,25,Karma mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
27,Robert Flynn,Robert.Flynn@fakegame.com,25,Karma mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']"
28,Karen Puckett,Karen.Puckett@fakegame.com,25,Karma mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
29,Nathanial Desantis,Nathanial.Desantis@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Hiring']"
30,Jennifer Taylor,Jennifer.Taylor@fakegame.com,100,HR,Manager,"['People Management', 'Recruitment', 'Communication']"
31,Charles Chavarria,Charles.Chavarria@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Hiring']"
32,David Teller,David.Teller@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Hiring']"
33,Jennifer Deangelis,Jennifer.Deangelis@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Conference']"
34,Virginia Dollar,Virginia.Dollar@fakegame.com,41,Outsourcing team,Manager,"['People Management', 'Budgeting', 'Hiring']"
35,Rickie Kerr,Rickie.Kerr@fakegame.com,41,Outsourcing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
36,Dwight Quinn,Dwight.Quinn@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
37,Evelyn Massey,Evelyn.Massey@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
38,John Dworaczyk,John.Dworaczyk@fakegame.com,41,Outsourcing team,Manager,"['People Management', 'Budgeting', 'Hiring']"
39,Pamela Nelson,Pamela.Nelson@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
40,Troy Payne,Troy.Payne@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
41,Marvin Kelly,Marvin.Kelly@fakegame.com,100,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
42,Ruben Thorne,Ruben.Thorne@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
43,William Lingner,William.Lingner@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
44,Lucien Ewing,Lucien.Ewing@fakegame.com,41,Outsourcing team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
45,Shanna Streeter,Shanna.Streeter@fakegame.com,41,Outsourcing team,Manager,"['People Management', 'Budgeting', 'Hiring']"
46,Teresa Bush,Teresa.Bush@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
47,Elisabeth Aslesen,Elisabeth.Aslesen@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
48,Cheryl Henry,Cheryl.Henry@fakegame.com,41,Outsourcing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
49,Wendell Reagan,Wendell.Reagan@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
50,George Niese,George.Niese@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
51,Colleen Banach,Colleen.Banach@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
52,Dorothy Ortega,Dorothy.Ortega@fakegame.com,55,Operation team,Manager,"['People Management', 'Budgeting', 'Hiring']"
53,Steven Syvertsen,Steven.Syvertsen@fakegame.com,55,Operation team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
54,Kellee Lillie,Kellee.Lillie@fakegame.com,55,Operation team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
55,Jennifer Oldridge,Jennifer.Oldridge@fakegame.com,100,Operation team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
56,Nicholas Jones,Nicholas.Jones@fakegame.com,55,Operation team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
57,Erin Ambriz,Erin.Ambriz@fakegame.com,55,Operation team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
58,Billie Adams,Billie.Adams@fakegame.com,55,Operation team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
59,Raul Galloway,Raul.Galloway@fakegame.com,55,Operation team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
60,Justin Jackson,Justin.Jackson@fakegame.com,55,Operation team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
61,Herman Foley,Herman.Foley@fakegame.com,63,Marketing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
62,Jennie Jutz,Jennie.Jutz@fakegame.com,63,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
63,Robert Wagner,Robert.Wagner@fakegame.com,100,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
64,Stephen Farnum,Stephen.Farnum@fakegame.com,63,Marketing team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
65,Charlene Faulk,Charlene.Faulk@fakegame.com,63,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
66,Naomi Wilhelm,Naomi.Wilhelm@fakegame.com,63,Marketing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
67,Bruce Davis,Bruce.Davis@fakegame.com,63,Marketing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
68,Bryce Hall,Bryce.Hall@fakegame.com,63,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
69,Barbara Zheng,Barbara.Zheng@fakegame.com,63,Marketing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
70,Brent Lisowski,Brent.Lisowski@fakegame.com,63,Marketing team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
71,Virginia Loza,Virginia.Loza@fakegame.com,63,Marketing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
72,Jesse Wilkerson,Jesse.Wilkerson@fakegame.com,63,Marketing team,Manager,"['People Management', 'Budgeting', 'Hiring']"
73,Anne Greenberg,Anne.Greenberg@fakegame.com,63,Marketing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
74,Loretta Roberts,Loretta.Roberts@fakegame.com,78,Finance team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
